Year,Kaze,Jae-Yong,Finx,Lumi,Ollie,Meeple,Juju,Shade,Kenji,Moe,Clancy,Berry,Lily,Draco,Angelo,Melodie,Larry & Lawrie,Kit,Mico,Charlie,Chuck,Pearl,Doug,Cordelius,Hank,Maisie,Willow,R-T,Mandy,Gray,Chester,Buster,Gus,Sam,Otis,Bonnie,Janet,Eve,Fang,Lola,Meg,Ash,Griff,Buzz,Grom,Squeak,Belle,Stu,Ruffs,Edgar,Byron,Lou,Amber,Colette,Surge,Sprout,Nani,Gale,Jacky,Max,Mr. P,Emz,Bea,Sandy,8-Bit,Bibi,Carl,Rosa,Leon,Tick,Gene,Frank,Penny,Darryl,Tara,Pam,Piper,Bo,Poco,Crow,Mortis,El Primo,Dynamike,Nita,Jessie,Barley,Spike,Rico,Brock,Bull,Colt,Shelly
Apr 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,10,36,8,23,13,12,26,5,21,40,34,6,18,33,28,4,9,16,29,19,43,11,17,39,35,37,38,24,15,41,7,27,20,45,44,30,14,3,25,31,32,42,22,46
Sep 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,23,8,,18,1,,16,27,11,39,15,37,25,12,14,47,48,17,32,28,33,5,30,26,41,35,3,19,13,45,38,42,29,22,6,36,21,20,9,24,44,43,34,10,7,4,2,46,31,49
Dec 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,13,2,40,31,7,1,46,15,10,28,52,16,50,35,42,26,14,29,32,39,22,51,24,30,6,38,36,49,4,8,34,23,20,54,5,11,12,18,45,25,19,17,53,48,43,33,37,3,9,27,41,44,47
Mar 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,17,22,1,28,19,39,34,16,6,23,54,2,51,36,41,26,30,44,12,52,33,25,20,37,14,43,46,42,18,8,24,29,32,55,9,13,10,15,53,38,7,31,48,45,50,35,27,4,11,21,40,47,49
May 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,27,1,29,6,31,5,32,39,49,7,15,13,3,57,2,40,42,41,19,25,33,10,53,20,21,14,43,17,23,44,50,28,12,38,22,37,56,24,34,9,18,26,51,4,36,52,47,55,46,35,11,16,30,45,48,54
Jul 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,3,1,20,35,4,41,25,24,34,15,5,11,8,18,58,21,40,47,44,12,23,49,19,57,9,33,13,46,27,48,43,2,32,10,45,14,36,16,31,29,30,17,22,53,6,38,51,56,55,50,39,7,26,28,42,52,54
Sep 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,4,57,6,5,42,19,23,37,28,1,33,40,20,21,11,10,60,46,41,13,15,18,30,43,16,55,3,56,24,8,32,49,34,7,39,25,36,12,38,9,35,47,31,26,22,2,17,44,54,58,29,51,45,14,27,48,52,53,59
Nov 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,10,41,2,5,3,30,29,26,43,28,1,47,42,31,17,9,18,61,56,39,19,15,21,34,49,12,58,4,60,25,6,32,45,48,22,46,24,35,13,50,11,44,38,33,16,27,7,20,51,54,57,37,53,40,14,36,23,55,52,59
Dec 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,5,4,1,3,29,2,15,14,21,36,25,23,35,10,32,11,24,22,16,18,64,61,44,39,19,27,38,49,42,62,13,57,33,8,48,47,52,20,46,37,31,6,56,9,45,50,40,26,34,12,7,55,59,54,43,58,51,17,41,30,60,53,63
Mar 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,24,21,44,13,54,58,7,25,4,29,5,23,37,39,32,12,27,17,10,20,26,6,16,66,55,33,38,15,22,18,49,61,57,11,59,35,1,42,43,53,14,50,41,34,8,63,9,47,56,46,30,36,3,2,64,48,28,45,62,51,19,31,40,60,52,65
May 2023,,,,,,,,,,,,,,,,,,,,,,,,,26,56,52,15,48,18,49,58,23,40,22,13,4,16,44,41,2,6,35,37,46,24,19,9,8,66,60,32,12,30,17,21,50,62,64,3,61,33,14,28,55,57,11,59,36,43,10,68,7,45,54,39,47,42,25,5,67,51,20,29,53,31,27,38,34,65,63,1
Jul 2023,,,,,,,,,,,,,,,,,,,,,,,64,1,66,17,50,9,57,13,55,63,4,14,20,11,23,15,51,48,26,25,33,38,49,3,16,10,19,67,61,45,40,24,29,21,56,58,65,30,7,42,8,34,54,62,12,59,44,27,6,69,28,53,18,46,36,52,32,5,70,43,22,37,47,35,31,39,41,68,60,2
Sep 2023,,,,,,,,,,,,,,,,,,,,,21,3,70,36,65,30,25,18,11,17,66,9,33,12,40,16,64,31,2,55,61,42,48,62,50,7,14,28,22,71,8,56,45,39,60,35,4,69,68,54,19,32,23,20,44,67,24,34,57,29,13,72,63,49,15,43,5,52,46,6,58,51,53,26,47,27,10,38,41,59,37,1
Nov 2023,,,,,,,,,,,,,,,,,,,,3,13,36,72,14,67,15,25,18,59,17,62,12,60,63,37,42,68,28,16,54,58,65,52,66,46,24,26,19,31,73,30,1,47,2,49,29,4,35,10,44,38,45,27,22,32,70,33,6,57,40,21,71,69,64,43,8,11,61,50,34,48,51,56,23,41,20,7,53,39,9,55,5
Dec 2023,,,,,,,,,,,,,,,,,12,1,8,13,31,62,76,6,74,3,36,22,57,17,65,28,61,67,41,55,56,43,2,42,58,66,64,71,44,35,23,25,37,10,48,4,26,5,72,39,11,34,21,54,49,46,52,24,50,73,63,14,15,40,30,75,69,70,38,27,16,7,60,19,59,68,20,47,32,29,9,45,51,53,33,18
Mar 2024,,,,,,,,,,,,,,,6,4,2,76,22,3,63,10,40,8,78,52,62,53,68,23,71,44,56,70,37,73,74,30,19,49,35,59,14,17,42,55,15,29,31,38,58,28,7,11,75,24,12,43,32,50,66,51,47,26,33,21,72,46,1,67,16,77,69,64,60,48,13,25,57,36,65,18,27,54,5,61,9,39,41,45,34,20
May 2024,,,,,,,,,,,,,59,43,2,1,30,19,56,5,53,31,79,14,78,76,57,17,75,23,71,13,65,41,52,55,74,51,62,38,20,45,39,50,64,63,4,15,22,60,8,66,12,18,58,25,21,54,27,7,44,34,67,3,32,28,40,46,35,29,6,80,77,70,61,33,9,68,10,72,73,42,48,16,11,49,37,24,36,69,26,47
Jul 2024,,,,,,,,,,,24,4,1,21,8,16,18,6,63,17,47,68,82,10,78,65,38,26,33,32,29,19,74,43,59,75,80,53,54,49,2,70,46,20,77,71,27,36,35,66,7,44,11,14,34,60,55,30,50,12,73,42,48,5,40,51,67,56,61,31,15,3,81,79,64,41,13,76,39,28,72,62,37,9,23,22,58,25,52,69,45,57
Sep 2024,,,,,,,,,42,1,13,39,28,64,20,29,8,22,72,75,74,55,84,18,83,66,61,57,11,36,6,15,21,47,31,79,81,62,52,59,5,80,34,46,82,38,43,51,54,76,10,45,14,37,7,41,40,3,73,23,78,48,68,17,49,71,44,69,58,27,24,12,60,2,35,56,16,63,32,50,4,65,26,30,19,9,53,25,77,70,67,33
Nov 2024,,,,,,,4,1,3,2,23,48,34,70,13,40,14,33,71,51,72,57,84,27,86,62,41,29,44,30,53,26,7,64,24,85,79,69,75,49,43,21,56,66,81,46,38,8,17,82,12,42,15,52,5,31,61,19,76,9,83,55,45,35,28,67,36,77,63,32,18,11,10,6,54,59,16,68,39,50,58,65,74,25,47,22,37,20,78,80,73,60
Dec 2024,,,,,14,1,2,28,29,73,35,7,54,60,24,8,22,53,80,75,77,46,86,58,88,21,50,38,62,12,76,30,3,63,36,83,18,13,72,45,64,4,34,74,81,37,39,6,56,85,16,11,20,31,5,42,47,27,67,15,87,49,69,32,23,82,55,79,68,52,26,10,9,19,43,59,25,65,44,57,41,71,51,40,61,33,48,17,66,84,78,70
Mar 2025,,,43,31,2,8,11,71,32,83,78,4,72,49,16,22,27,35,76,85,79,63,90,54,1,25,68,57,10,14,80,50,36,70,59,89,5,47,66,61,86,17,26,41,82,39,42,7,45,87,44,9,13,23,29,30,69,67,75,15,3,65,21,37,18,81,46,64,53,40,19,24,12,34,62,88,38,55,6,56,48,52,58,33,73,20,60,28,51,84,77,74
May 2025,5,9,21,2,22,8,14,40,1,37,90,32,79,74,7,11,48,34,69,53,86,55,92,51,3,58,49,59,43,17,4,13,36,82,63,16,24,70,84,25,29,28,77,52,68,20,41,10,72,87,56,15,23,60,73,67,76,78,47,27,18,66,31,62,57,83,6,89,61,50,19,33,65,38,45,26,42,12,44,46,39,75,80,64,88,30,54,35,71,91,85,81